"Major area, region, country or area of destination",Notes,Country code,Total population of both sexes at mid-year (thousands),,,,,,Total male population at mid-year (thousands),,,,,,Total female population at mid-year (thousands),,,,,
Eastern Asia,,906, 1 368 592, 1 448 738, 1 496 284, 1 536 540, 1 575 320, 1 612 287,  698 498,  739 843,  764 089,  785 068,  805 215,  824 700,  670 094,  708 895,  732 195,  751 472,  770 106,  787 587
China,(5),156, 1 154 606, 1 227 841, 1 269 975, 1 305 601, 1 340 969, 1 376 049,  592 506,  630 561,  652 374,  671 410,  690 256,  708 977,  562 099,  597 281,  617 600,  634 191,  650 712,  667 072
"China, Hong Kong Special Administrative Region",(6),344,  5 794,  6 144,  6 784,  6 842,  6 994,  7 288,  2 962,  3 074,  3 304,  3 270,  3 281,  3 422,  2 832,  3 070,  3 479,  3 572,  3 713,  3 866
"China, Macao Special Administrative Region",(7),446,   360,   398,   432,   468,   535,   588,   175,   193,   209,   224,   257,   283,   185,   205,   223,   244,   278,   305
Democratic People's Republic of Korea,,408,  20 194,  21 764,  22 840,  23 813,  24 501,  25 155,  9 809,  10 608,  11 132,  11 624,  11 970,  12 300,  10 385,  11 156,  11 708,  12 189,  12 531,  12 856
Japan,,392,  122 249,  124 483,  125 715,  126 979,  127 320,  126 573,  59 943,  61 010,  61 490,  61 956,  62 018,  61 559,  62 306,  63 473,  64 224,  65 023,  65 302,  65 015
Mongolia,,496,  2 184,  2 298,  2 397,  2 526,  2 713,  2 959,  1 078,  1 138,  1 196,  1 257,  1 346,  1 465,  1 106,  1 160,  1 202,  1 270,  1 367,  1 494
Republic of Korea,,410,  42 972,  44 653,  46 206,  47 606,  49 090,  50 293,  21 523,  22 361,  23 179,  23 790,  24 422,  24 995,  21 449,  22 292,  23 027,  23 816,  24 668,  25 298
South-Eastern Asia,,920,  445 665,  486 881,  526 179,  563 157,  596 708,  633 490,  222 338,  242 676,  262 028,  280 534,  297 955,  316 148,  223 327,  244 205,  264 150,  282 623,  298 753,  317 341
Brunei Darussalam,,96,   257,   295,   331,   362,   393,   423,   136,   155,   168,   186,   203,   218,   121,   140,   162,   176,   190,   205
Cambodia,,116,  9 009,  10 694,  12 198,  13 320,  14 364,  15 578,  4 351,  5 192,  5 928,  6 465,  6 997,  7 598,  4 658,  5 503,  6 270,  6 855,  7 366,  7 980
Indonesia,,360,  181 437,  196 958,  211 540,  226 255,  241 613,  257 564,  91 116,  98 526,  105 868,  113 587,  121 773,  129 688,  90 321,  98 432,  105 672,  112 667,  119 840,  127 876
Lao People's Democratic Republic,,418,  4 248,  4 858,  5 343,  5 745,  6 261,  6 802,  2 124,  2 421,  2 661,  2 841,  3 106,  3 385,  2 123,  2 437,  2 682,  2 904,  3 154,  3 417
Malaysia,(8),458,  18 211,  20 725,  23 421,  25 796,  28 120,  30 331,  9 244,  10 530,  11 909,  12 995,  13 956,  15 026,  8 967,  10 195,  11 511,  12 801,  14 163,  15 305
Myanmar,,104,  42 007,  44 711,  47 670,  49 985,  51 733,  53 897,  20 571,  21 911,  23 301,  24 420,  25 252,  26 335,  21 437,  22 800,  24 369,  25 564,  26 481,  27 562
Philippines,,608,  61 947,  69 836,  77 932,  86 141,  93 039,  100 699,  31 293,  35 227,  39 249,  43 293,  47 060,  50 813,  30 655,  34 609,  38 683,  42 848,  45 979,  49 887
Singapore,,702,  3 016,  3 483,  3 918,  4 496,  5 079,  5 604,  1 518,  1 753,  1 957,  2 231,  2 506,  2 765,  1 499,  1 730,  1 961,  2 264,  2 573,  2 839
Thailand,,764,  56 583,  59 266,  62 693,  65 864,  66 692,  67 959,  28 027,  29 476,  31 005,  32 544,  32 938,  33 495,  28 556,  29 790,  31 688,  33 320,  33 754,  34 465
Timor-Leste,,626,   740,   856,   847,   989,  1 057,  1 185,   374,   433,   430,   502,   537,   602,   366,   424,   418,   488,   520,   583
